Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Christian Abbiati,it ITA,GK,it Milan,25,1977,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Valeri Abramidze,ge GEO,DF,ru Spartak Moscow,22,1980,4,3,297,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Roberto Acuña,py PAR,MF,es Dep La Coruña,30,1972,7,2,253,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Baba Adamu,gh GHA,FW,ru Loko Moscow,22,1979,3,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Daniele Adani,it ITA,DF,it Inter,28,1974,4,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Pablo Aimar,ar ARG,MF,es Valencia,22,1979,11,10,843,9.4,3,4,7,3,0,0,2,0,0.32,0.43,0.75,0.32,0.75,Matches
7,Yakubu Aiyegbeni,ng NGA,FW,il Maccabi Haifa,19,1982,5,5,444,4.9,5,1,6,3,2,2,1,0,01.01,0.20,1.22,0.61,0.81,Matches
8,Ayhan Akman,tr TUR,MF,tr Galatasaray,25,1977,4,1,141,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
9,David Albelda,es ESP,"DF,MF",es Valencia,24,1977,11,11,945,10.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
10,Miguel Albiol,es ESP,MF,es Valencia,20,1981,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Aldair,br BRA,DF,it Roma,36,1965,5,5,449,5.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Alexis Alexandris,gr GRE,FW,gr Olympiacos,33,1968,4,1,160,1.8,1,0,1,1,0,0,0,0,0.56,0.00,0.56,0.56,0.56,Matches
13,Sergio Almaguer,mx MEX,"DF,FW",tr Galatasaray,33,1969,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Matías Almeyda,ar ARG,"DF,MF",it Inter,28,1973,8,5,556,6.2,1,1,2,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches
15,Eyal Almoshnino,il ISR,DF,il Maccabi Haifa,26,1976,3,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Georgios Amanatidis,gr GRE,DF,gr Olympiacos,32,1970,1,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,José Amavisca,es ESP,"FW,MF",es Dep La Coruña,31,1971,5,1,150,1.7,0,1,1,0,0,0,0,0,0.00,0.60,0.60,0.00,0.60,Matches
18,Massimo Ambrosini,it ITA,MF,it Milan,25,1977,11,6,618,6.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Shola Ameobi,ng NGA,FW,eng Newcastle United,20,1981,8,4,380,4.2,3,0,3,3,0,0,1,0,0.71,0.00,0.71,0.71,0.71,Matches
20,Márcio Amoroso,br BRA,FW,de Dortmund,28,1974,9,4,430,4.8,3,0,3,3,0,0,0,0,0.63,0.00,0.63,0.63,0.63,Matches
21,Georgios Anatolakis,gr GRE,DF,gr Olympiacos,28,1974,5,5,406,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Sonny Anderson,br BRA,FW,fr Lyon,31,1970,6,6,504,5.6,5,1,6,5,0,0,0,0,0.89,0.18,01.07,0.89,01.07,Matches
23,Patrik Andersson,se SWE,DF,es Barcelona,30,1971,4,3,408,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Jorge Andrade,pt POR,DF,es Dep La Coruña,24,1978,4,3,339,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Miguel Ángel Angulo,es ESP,"FW,MF",es Valencia,25,1977,11,6,608,6.8,2,1,3,2,0,0,1,1,0.30,0.15,0.44,0.30,0.44,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Francesco Antonioli,it ITA,GK,it Roma,32,1969,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Paraskevas Antzas,gr GRE,DF,gr Olympiacos,25,1976,6,6,513,5.7,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
28,Dudu Aouate,il ISR,GK,il Maccabi Haifa,24,1977,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
29,John Arne Riise,no NOR,"DF,MF",eng Liverpool,21,1980,6,6,540,6.0,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches
30,Emre Aşık,tr TUR,DF,tr Galatasaray,28,1973,4,3,268,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
31,Timothée Atouba,cm CMR,DF,ch Basel,20,1982,11,10,884,9.8,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches
32,Catilina Aubameyang,ga GAB,MF,it Milan,18,1983,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
